Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3
0.0,0.005470531151916538,0.0015388537162308535,0.014188525290879312,-0.0001264967157464845,1.6001419094646895e-06,2.290962511902446e-05,-3.604424091408982e-05,-3.5766968804695365e-05,-4.283408746936845e-05
9.247750946969698e-12,0.00546657504653455,0.0015383432348394207,0.014186224594412603,-0.0001264788135957317,1.599689028858385e-06,2.283072683888391e-05,-3.7528396665832915e-05,-3.7327372553985685e-05,-4.387829242556337e-05
1.8495501893939395e-11,0.005456951006798183,0.0015374045506761896,0.014184633876016609,-0.0001264722932534041,1.5995240960775042e-06,2.2752548429765487e-05,-3.9012156625435595e-05,-3.888694861875515e-05,-4.492088311600294e-05
2.7743252840909093e-11,0.005441689614203328,0.001536040486790605,0.01418375607965976,-0.00012647715592869143,1.5996470971810526e-06,2.26750877055807e-05,-4.0495503732334915e-05,-4.044566497207194e-05,-4.5961813663521484e-05
3.699100378787879e-11,0.00542083935662575,0.0015342553893503482,0.014183594157035297,-0.00012649338767684937,1.600057712596571e-06,2.2598341064459674e-05,-4.197842164428917e-05,-4.200349047080261e-05,-4.700103895533577e-05
4.623875473484849e-11,0.005394466494714718,0.001532055115422833,0.014184151056220076,-0.00012652095940797234,1.6007553169513786e-06,2.2522303502294808e-05,-4.3460894738546735e-05,-4.3560394857945985e-05,-4.803851464547939e-05
5.5486505681818185e-11,0.005362654879204509,0.001529447016583144,0.014185429710328578,-0.0001265598269374542,1.6017389794438354e-06,2.2446968629932205e-05,-4.494290811204425e-05,-4.51163487637196e-05,-4.907419715626301e-05
6.473425662878788e-11,0.0053255057195233406,0.0015264399183817707,0.014187433026179563,-0.0001266099310779777,1.6030074647570263e-06,2.237232869395494e-05,-4.6424447580639565e-05,-4.6671323705407505e-05,-5.01080436787654e-05
7.398200757575758e-11,0.005283137304175787,0.0015230440957140659,0.014190163872992727,-0.00012667119777278664,1.6045592345192428e-06,2.2298374600998372e-05,-4.7905499677383105e-05,-4.822529208597257e-05,-5.11400121723582e-05
8.322975852272728e-11,0.005235684673478534,0.0015192712441419794,0.014193625071132667,-0.0001267435382699067,1.6063924493175302e-06,2.2225095945530266e-05,-4.938605164982572e-05,-4.977822719143602e-05,-5.217006136326389e-05
9.247750946969698e-11,0.0051832992453289305,0.0015151344472272908,0.014197819380917374,-0.00012682684933690075,1.6085049712724923e-06,2.215248104102724e-05,-5.086609145636208e-05,-5.133010318702115e-05,-5.319815074214435e-05
1.0172526041666667e-10,0.005126148394789185,0.0015106481399439582,0.014202749491509004,-0.00012692101351565049,1.6108943671839932e-06,2.208051695447024e-05,-5.2345607761603415e-05,-5.2880895112058193e-05,-5.422424056071538e-05
1.1097301136363637e-10,0.005064414988364912,0.0015058280682458689,0.014208418009903787,-0.00012702589941657907,1.613557912259086e-06,2.2009189544080364e-05,-5.3824589930771895e-05,-5.443057887364115e-05,-5.524829182737777e-05
1.2022076231060607e-10,0.004998296873962259,0.0015006912448748907,0.01421482745003925,-0.00012714136205164357,1.6164925944347112e-06,2.193848350020938e-05,-5.530302802310643e-05,-5.597913123902718e-05,-5.62702663018566e-05
1.2946851325757575e-10,0.004928006327602038,0.0014952559015022876,0.014221980222036093,-0.00012726724320533787,1.6196951193086617e-06,2.1868382389294675e-05,-5.678091278426739e-05,-5.752652982676546e-05,-5.729012648883428e-05
1.3871626420454546e-10,0.004853769458072419,0.001489541437305273,0.014229878621592617,-0.00012740337184287325,1.6231619156933428e-06,2.179886870078496e-05,-5.825823563772546e-05,-5.9072753096539726e-05,-5.830783563056474e-05
1.4796401515151516e-10,0.004775825570797085,0.0014835683640887186,0.014238524819549897,-0.00012754956455461182,1.6268891418071088e-06,2.1729923896934955e-05,-5.9734988675118466e-05,-6.0617780337708004e-05,-5.932335769845045e-05
1.5721176609848486e-10,0.004694426492295156,0.0014773582480703074,0.014247920851645928,-0.00012770562603575615,1.6308726921184397e-06,2.166152846536545e-05,-6.12111646455577e-05,-6.216159165651845e-05,-6.0336657383566006e-05
1.6645951704545457e-10,0.0046098358567036035,0.0014709336484557882,0.01425806860847706,-0.00012787134960021268,1.6351082048579812e-06,2.1593661974277645e-05,-6.268675694386432e-05,-6.370416796198191e-05,-6.134770008610727e-05
1.7570726799242425e-10,0.004522328355930868,0.0014643180529388385,0.01426896982568569,-0.00012804651772746833,1.6395910702130863e-06,2.152630313020608e-05,-6.416175959771608e-05,-6.52454909503778e-05,-6.235645190374726e-05
1.8495501893939395e-10,0.004432188955101751,0.0014575358102683997,0.014280626074393036,-0.00012823090264124624,1.6443164392188772e-06,2.14594298381889e-05,-6.563616725368164e-05,-6.678554308837041e-05,-6.33628796188763e-05
1.9420276988636365e-10,0.004339712075049102,0.0014506120600340099,0.01429303875189619,-0.00012842426691862173,1.6492792333585397e-06,2.1393019264228867e-05,-6.710997516212215e-05,-6.832430759471237e-05,-6.436695068470542e-05
2.0345052083333333e-10,0.004245200743696971,0.0014435726598275925,0.014306209072649014,-0.000128626364128214,1.65447415488439e-06,2.132704789991255e-05,-6.858317916093734e-05,-6.986176842051088e-05,-6.536863321021129e-05
