Frequency_MHz,I_ser_RMS,Phase_I_ser_deg,I_load_RMS,Phase_I_load_deg,Current_Ratio,V_node_RMS,Phase_V_node_deg,S21_dB,S21_Phase_deg,S11_dB,S11_Phase_deg
20.0,0.00013502170152199643,55.48482582508377,0.0001350217015219964,55.48482582508377,0.9999999999999998,0.017966370877197047,-2.054389080822641,-14.91079278963637,-2.054389080822641,-32.76092758014611,-170.95346313774624
20.14007003501751,0.00013566461863392712,55.29700433138682,0.00013566461863392712,55.29700433138682,1.0,0.01796220332273696,-2.0599872238497765,-14.912807838608902,-2.0599872238497765,-32.751543720827,-170.94061176173636
20.280140070035017,0.00013630324582643405,55.11001302088004,0.00013630324582643405,55.11001302088005,1.0,0.017958043013003803,-2.0654764915159873,-14.914819851055922,-2.0654764915159873,-32.74219851781127,-170.928247518615
20.420210105052526,0.00013693760125174062,54.92385022964164,0.00013693760125174062,54.92385022964163,1.0,0.01795389022778704,-2.0708577693782138,-14.916828689399551,-2.0708577693782138,-32.732892380464996,-170.91636378616104
20.560280140070034,0.00013756770330391254,54.73851423964157,0.00013756770330391254,54.73851423964157,1.0,0.017949745240691723,-2.0761319468877604,-14.91883421893165,-2.0761319468877604,-32.72362570035125,-170.90495398141084
20.700350175087546,0.00013819357060982152,54.55400328001747,0.00013819357060982152,54.55400328001747,1.0,0.01794560831919087,-2.081299917051169,-14.920836307792353,-2.0812999170511683,-32.714398851580185,-170.894011562011
20.840420210105055,0.00013881522202024364,54.370315528338125,0.00013881522202024367,54.370315528338125,1.0000000000000002,0.017941479724679178,-2.086362576098115,-14.922834826947938,-2.086362576098115,-32.705212191156974,-170.88353002750293
20.98049024512256,0.00013943267660109434,54.18744911185462,0.00013943267660109437,54.187449111854626,1.0000000000000002,0.01793735971252804,-2.0913208231563374,-14.924829650168014,-2.0913208231563374,-32.69606605932728,-170.87350292054174
21.12056028014007,0.00014004595362479953,54.005402108738814,0.00014004595362479953,54.00540210873882,1.0,0.017933248532141777,-2.096175559933556,-14.926820654002118,-2.096175559933556,-32.68696077992071,-170.86392382805002
21.260630315157577,0.0001406550725618048,53.82417254930879,0.00014065507256180476,53.82417254930879,0.9999999999999998,0.017929146427015014,-2.1009276904064014,-14.9288077177557,-2.100927690406401,-32.6778966606913,-170.85478638230884
21.400700350175086,0.000141260053072222,53.64375841724125,0.000141260053072222,53.643758417241244,1.0,0.01792505363479114,-2.105578120516296,-14.93079072346555,-2.1055781205162956,-32.66887399365561,-170.84608426198767
21.540770385192594,0.00014186091499761424,53.4641576507706,0.00014186091499761424,53.464157650770595,1.0,0.017920970387321745,-2.110127757872288,-14.93276955587471,-2.1101277578722875,-32.65989305542759,-170.83781119311436
21.680840420210103,0.00014245767835291902,53.285368143874514,0.00014245767835291902,53.285368143874514,1.0,0.017916896910727044,-2.1145775114607925,-14.934744102406887,-2.114577511460792,-32.65095410755065,-170.8299609499872
