Frequency_MHz,I_ser_RMS,Phase_I_ser_deg,I_load_RMS,Phase_I_load_deg,Current_Ratio,V_node_RMS,Phase_V_node_deg,S21_dB,S21_Phase_deg,S11_dB,S11_Phase_deg
20.0,0.00021833557871688586,22.205398318605337,6.19983168514199e-05,24.567109764410453,0.2839588362820732,0.017234127507332837,-1.5882969519101104,-15.272213964643505,-1.5882969519101104,-31.390199929445433,-174.28421404290515
20.14007003501751,0.00021879302176621424,21.863649996369702,6.152596251887266e-05,24.31469657201166,0.2812062378507422,0.01722867808031565,-1.5688309042204263,-15.274960875189475,-1.5688309042204265,-31.381753426340534,-174.3617718427175
20.280140070035017,0.00021924221005787048,21.520503381269318,6.103523619176232e-05,24.0655217571276,0.27839181230499205,0.017223291269776574,-1.5490394388183073,-15.277677076504364,-1.5490394388183073,-31.3734290502369,-174.44020293676766
20.420210105052526,0.00021968311031610085,21.175830554285334,6.052569778230766e-05,23.819787703970974,0.2755136600861921,0.017217967395851866,-1.5289152802531942,-15.280362378001266,-1.5289152802531942,-31.365226739480214,-174.51953324103226
20.560280140070034,0.00022011567679674338,20.829499486047503,5.999688700279882e-05,23.577723208206205,0.2725698045496343,0.01721270687353122,-1.5084506933130033,-15.283016541339078,-1.5084506933130033,-31.35714659971412,-174.59979016525878
20.700350175087546,0.0002205398505446878,20.48137381107775,5.944832262732454e-05,23.33958676302928,0.26955818860174013,0.0172075102200749,-1.4876374682284224,-15.285639276612875,-1.4876374682284224,-31.349188914412988,-174.68100266143037
20.840420210105055,0.00022095555858656955,20.131312589272927,5.8879501746174465e-05,23.1056703207332,0.26647667124928065,0.017202378063028743,-1.4664669052080777,-15.288230238238306,-1.4664669052080774,-31.341354156321902,-174.76320127515675
20.98049024512256,0.00022136271305286264,19.779170053872114,5.8289899019106864e-05,22.876303609164427,0.2633230240776228,0.0171973111488937,-1.4449297983085594,-15.290789020501101,-1.4449297983085594,-31.33364299988964,-174.8464182000544
21.12056028014007,0.00022176121022297613,19.42479534511221,5.767896593547054e-05,22.651859097696924,0.2600949276813361,0.017192310352511803,-1.423016418649618,-15.293315152740139,-1.423016418649618,-31.326056334788177,-174.9306873351721
21.260630315157577,0.0002221509294863425,19.068032228732232,5.704613009141428e-05,22.432757725890795,0.25678996807853277,0.017187376687236567,-1.4007164969924841,-15.29580809412941,-1.4007164969924841,-31.318595280622006,-175.01604434550578
21.400700350175086,0.0002225317322117997,18.708718798442852,5.6390794497221756e-05,22.2194755306805,0.25340563315055903,0.017182511315961563,-1.378019205708424,-15.298267228021318,-1.3780192057084237,-31.311261202939804,-175.10252672563482
21.540770385192594,0.000222903460516822,18.346687161433568,5.571233693132987e-05,22.012551335792175,0.24993930916171395,0.017177715563088666,-1.3549131401756314,-15.300691855809855,-1.3549131401756311,-31.30405573067264,-175.19017386649406
21.680840420210103,0.00022326593592732118,17.98176310594598,5.501010936200622e-05,21.81259570145458,0.246388277430344,0.017172990927524313,-1.3313862996556671,-15.303081190268626,-1.3313862996556671,-31.296980775134486,-175.27902712527393
21.820910455227615,0.00022361895791782397,17.61376574989874,5.4283437463233405e-05,21.620301375059523,0.2427497112439886,0.017168339096800964,-1.3074260677162277,-15.305434348314414,-1.3074260677162275,-31.290038550734597,-175.36912989841485
21.960980490245124,0.00022396230232082893,17.24250716950794,5.353162025839256e-05,21.436455536466024,0.23902067313858835,0.017163761962429944,-1.2830191922855543,-15.307750343142226,-1.2830191922855543,-31.28323159756605,-175.4605276976289
22.101050525262632,0.00022429571959302263,16.8677920068093,5.2753929934281274e-05,21.261954198021215,0.23519811269694127,0.01715926163660162,-1.2581517654457037,-15.310028075673056,-1.2581517654457037,-31.27656280605114,-175.55326822884106
