Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3,I_res4,I_res5,I_res6,I_res7,I_res8
0.0,0.1667360222518603,0.015288866047845469,0.014690945438131472,5.979206097140119e-06,3.5750905552077567e-09,1.3712594498094641e-06,-2.608748478007857e-05,-2.0199708972148185e-05,-5.911444880235879e-05,7.592121764203165e-06,9.082093516808035e-06,5.55148990079625e-06,4.352688507752984e-06,3.496039957296599e-06
9.247750946969698e-12,0.16673350951826096,0.015289644239977371,0.01470405215781455,5.8559208216284275e-06,3.4291808669181354e-09,1.3663511394032574e-06,-2.7259418467744107e-05,-2.004679882538513e-05,-5.784064192952884e-05,7.72415828125529e-06,9.019533589419819e-06,5.517208173253457e-06,4.327791729941592e-06,3.477196080557962e-06
1.8495501893939395e-11,0.16672597145594376,0.015289990633185518,0.014717099305396494,5.728913277890433e-06,3.282044734558931e-09,1.361559144196567e-06,-2.843109902092774e-05,-1.9893554255697044e-05,-5.65650637833601e-05,7.855976903712087e-06,8.956515550080288e-06,5.482635619908466e-06,4.302660541317907e-06,3.4581601710779404e-06
2.7743252840909093e-11,0.16671340848034502,0.015289905205467375,0.014730086123342315,5.598190821250778e-06,3.1339740471136464e-09,1.3568827226059584e-06,-2.9602523756898114e-05,-1.9739977294764956e-05,-5.528775392344728e-05,7.987569519369146e-06,8.89304379633348e-06,5.447775089518541e-06,4.277297250007233e-06,3.4389341213568925e-06
3.699100378787879e-11,0.16669582128383817,0.015289387958938624,0.014743011861662167,5.463760972764808e-06,2.985268396750784e-09,1.3523211418049404e-06,-3.077368999958648e-05,-1.958606998487364e-05,-5.400875196768479e-05,8.118928015793395e-06,8.82912274553447e-06,5.412629442960098e-06,4.251704173797909e-06,3.4195198317728296e-06
4.623875473484849e-11,0.16667321083570394,0.015288438919833005,0.01475587577794222,5.325631418907998e-06,2.8362350010060015e-09,1.3478736777061762e-06,-3.1944595079532564e-05,-1.9431834378816413e-05,-5.272809759094655e-05,8.250044280918302e-06,8.764756834650583e-06,5.377201553103268e-06,4.225883640040399e-06,3.3999192104989205e-06
5.5486505681818185e-11,0.16664557838208743,0.015287058138500904,0.01476867713737512,5.18381001125801e-06,2.687188623281877e-09,1.3435396149408764e-06,-3.311523633383036e-05,-1.9277272539799328e-05,-5.144583052376345e-05,8.380910203639464e-06,8.699950520061693e-06,5.341494304685924e-06,4.199837985545954e-06,3.380134173420637e-06
6.473425662878788e-11,0.16661292544594372,0.01528524568940709,0.014781415212790165,5.038304766169415e-06,2.5384514916805447e-09,1.339318246835431e-06,-3.4285611106072905e-05,-1.912238654134529e-05,-5.0161990550999375e-05,8.511517674410671e-06,8.634708277359596e-06,5.3055105941871625e-06,4.173569556484855e-06,3.360166644052568e-06
7.398200757575758e-11,0.1665752538269715,0.015283001671127247,0.014794089284683122,4.889123864441378e-06,2.39035321618502e-09,1.3352088753852887e-06,-3.545571674629833e-05,-1.896717846719742e-05,-4.887661751052453e-05,8.641858585840278e-06,8.569034601146544e-06,5.2692533297002965e-06,4.1470807082842655e-06,3.340018553454926e-06
8.322975852272728e-11,0.16653256560153376,0.015280326206343545,0.014806698641245777,4.73627565097784e-06,2.243230704204556e-09,1.3312108112260907e-06,-3.66255506109342e-05,-1.8811650411222385e-05,-4.758975129188769e-05,8.771924833287966e-06,8.502934004832856e-06,5.2327254308053115e-06,4.120373805525667e-06,3.3196918401496968e-06
9.247750946969698e-11,0.16648486312256705,0.015277219441839095,0.014819242578395043,4.579768634440677e-06,2.097428074500662e-09,1.3273233736020896e-06,-3.7795110062742354e-05,-1.8655804477313155e-05,-4.630143183498613e-05,8.901708315461765e-06,8.436411020433682e-06,5.195929828440837e-06,4.0934512218419065e-06,3.299188450036499e-06
1.0172526041666667e-10,0.16643214901947923,0.015273681548491375,0.014831720399801818,4.419611486895698e-06,1.9532965695100403e-09,1.3235458903318613e-06,-3.8964392470763294e-05,-1.849964277929151e-05,-4.501169912873422e-05,9.0312009350153e-06,8.369470198364911e-06,5.1588694647755875e-06,4.066315339813841e-06,3.2785103363080907e-06
1.1097301136363637e-10,0.16637442619803283,0.015269712721264603,0.014844131416919506,4.255813043451082e-06,1.8111944660808363e-09,1.3198776977713507e-06,-4.013339521026055e-05,-1.8343167440810092e-05,-4.372059320972977e-05,9.160394599145335e-06,8.302116107238213e-06,5.12154729307933e-06,4.038968550866602e-06,3.257659459365597e-06
1.2022076231060607e-10,0.16631169784021962,0.015265313179201073,0.014856474949012167,4.088382301889248e-06,1.6714869846401226e-09,1.316318140774227e-06,-4.130211566266453e-05,-1.818638059525419e-05,-4.2428154160919064e-05,9.289281220189392e-06,8.234353333655241e-06,5.083966277593359e-06,4.011413255165469e-06,3.236637786733397e-06
1.2946851325757575e-10,0.16624396740411987,0.015260483165411391,0.014868750323182313,3.917328422290943e-06,1.5345461968088446e-09,1.3128665726496267e-06,-4.247055121551645e-05,-1.8029284385643103e-05,-4.1134422110260377e-05,9.417852716223578e-06,8.166186482001037e-06,5.0461293934004866e-06,3.983651861511377e-06,3.215447292973731e-06
1.3871626420454546e-10,0.16617123862375185,0.015255222947063685,0.014880956874398435,3.7426607266526734e-06,1.4007509314828318e-09,1.3095223551172533e-06,-4.363869926241176e-05,-1.7871880964531192e-05,-3.9839437229385465e-05,9.546101011660475e-06,8.097620174236552e-06,5.008039626294545e-06,3.955686787236024e-06,3.1940899596009798e-06
1.4796401515151516e-10,0.16609351550890802,0.015249532815371782,0.014893093945522141,3.5643886984966633e-06,1.2704866793970738e-09,1.3062848582598956e-06,-4.4806557202943634e-05,-1.771417249390859e-05,-3.854323973225984e-05,9.674018037847064e-06,8.028659049690433e-06,4.969699972649429e-06,3.927520458096633e-06,3.1725677749956594e-06
1.5721176609848486e-10,0.16601080234497967,0.015243413085582308,0.014905160887334921,3.3825219824739502e-06,1.1441454961919502e-09,1.3031534604733544e-06,-4.5974122442646155e-05,-1.7556161145101548e-05,-3.72458698738415e-05,9.801595733662711e-06,7.959307764849937e-06,4.931113439287668e-06,3.8991553081703425e-06,3.150882734318117e-06
1.6645951704545457e-10,0.165923103692769,0.015236864096960696,0.014917157058564683,3.1970703839602907e-06,1.0221259039996e-09,1.3001275484138203e-06,-4.71413923929367e-05,-1.7397849098672564e-05,-3.5947367948738345e-05,9.928826046117104e-06,7.889570993151089e-06,4.89228304334853e-06,3.870593779748217e-06,3.129036839421931e-06
1.7570726799242425e-10,0.16583042438829018,0.01522988621277627,0.014929081825911787,3.0080438686449454e-06,9.048327915692449e-10,1.2972065169427193e-06,-4.830836447105954e-05,-1.7239238544319923e-05,-3.464777428986371e-05,1.0055700930948087e-05,7.819453424768077e-06,4.853211812155693e-06,3.841838323228934e-06,3.107032098767037e-06
1.8495501893939395e-10,0.1657327695425568,0.015222479820286123,0.01494093456407489,2.815452562112496e-06,7.926773129505819e-10,1.2943897690690464e-06,-4.9475036100027755e-05,-1.7080331680777193e-05,-3.334712926709108e-05,1.0182212353219475e-05,7.74895976640181e-06,4.813902783084441e-06,3.812891397012097e-06,3.0848705273325445e-06
1.9420276988636365e-10,0.16563014454135905,0.01521464533071807,0.014952714655776326,2.6193067494176113e-06,6.860767847544653e-10,1.2916767158892152e-06,-5.064140470856574e-05,-1.6921130715712244e-05,-3.204547328590737e-05,1.0308352287918638e-05,7.678094741067803e-06,4.774359003428436e-06,3.7837554673911992e-06,3.062554146529302e-06
2.0345052083333333e-10,0.16552255504502705,0.015206383179252471,0.014964421491787214,2.419616874652737e-06,5.854545820104279e-10,1.2890667765244521e-06,-5.180746773105123e-05,-1.6761637865625995e-05,-3.074284678606464e-05,1.0434112720553959e-05,7.606863087883221e-06,4.7345835302660485e-06,3.7544330084462723e-06,3.0400849841121663e-06
2.1269827178030304e-10,0.16541000698818406,0.015197693825003059,0.014976054470952179,2.2163935405088834e-06,4.912400326409503e-10,1.286559378055746e-06,-5.297322260745737e-05,-1.660185535575085e-05,-2.9439290240230965e-05,1.055948564775203e-05,7.53526956185324e-06,4.694579430326254e-06,3.7249265019361578e-06,3.0174650740920044e-06
2.2194602272727274e-10,0.16529250657948608,0.015188577750996657,0.014987613000213746,2.0096475078293137e-06,4.0386831057245716e-10,1.2841539554563916e-06,-5.4138666783294305e-05,-1.6441785419948813e-05,-2.8134844152639888e-05,1.0684463077854596e-05,7.46331893365665e-06,4.6543497798541056e-06,3.695238437190481e-06,2.994696456647426e-06
2.3119377367424244e-10,0.16517006030135023,0.01517903546415198,0.014999096494636354,1.799389695156384e-06,3.2378032750349846e-10,1.2818499515221498e-06,-5.530379770955078e-05,-1.6281430300609325e-05,-2.6829549057739036e-05,1.0809037031515239e-05,7.3910159894307615e-06,4.6138976644758055e-06,3.665371311001289e-06,2.9717811780362617e-06
2.4044152462121215e-10,0.16504267490967126,0.015169067495257187,0.015010504377430062,1.5856311782713605e-06,2.514226233506223e-10,1.2796468167990439e-06,-5.6468612842635514e-05,-1.612079224854674e-05,-2.5523445518837208e-05,1.0933199542295629e-05,7.31836553055555e-06,4.573226179063331e-06,3.6353276275143477e-06,2.948721290506762e-06
2.4968927556818185e-10,0.16491035743352545,0.015158674398946605,0.015021836079973884,1.3683831897274236e-06,1.8724725539285984e-10,1.2775440095088338e-06,-5.763310964431849e-05,-1.595987352289758e-05,-2.421657412675078e-05,1.1056942657261459e-05,7.24537237343716e-06,4.53233842759869e-06,3.6051098981201462e-06,2.9255188522085577e-06
2.589370265151515e-10,0.1647731151748637,0.015147856753676272,0.015033091041838724,1.1476571183756681e-06,1.3171168613583423e-10,1.2755409954721722e-06,-5.879728558167136e-05,-1.5798676391017567e-05,-2.2908975498449252e-05,1.1180258437577927e-05,7.172041349290665e-06,4.491237523037736e-06,3.5747206413445595e-06,2.902175927103342e-06
2.681847774621212e-10,0.16463095570819103,0.015136615161698454,0.015044268710810061,9.234645088841984e-07,8.527866991687336e-11,1.2736372480294943e-06,-5.996113812700916e-05,-1.5637203128378097e-05,-2.1600690275699277e-05,1.1303138959104824e-05,7.098377303922183e-06,4.4499265871736565e-06,3.5441623827392544e-06,2.8786945848753496e-06
2.774325284090909e-10,0.164483886880236,0.015124950249035197,0.015055368542910159,6.958170612505288e-07,4.841613827273221e-11,1.2718322479596579e-06,-6.112466475783032e-05,-1.5475456018462744e-05,-2.0291759123708378e-05,1.1425576312990973e-05,7.024385097510301e-06,4.4084087504999855e-06,3.513437654771727e-06,2.8550769008415374e-06
2.866802793560606e-10,0.16433191680960643,0.015112862665450737,0.015066390002420044,4.647266303070556e-07,2.159708409165507e-11,1.270125483396354e-06,-6.228786295675726e-05,-1.5313437352663292e-05,-1.8982222729767557e-05,1.1547562606268276e-05,6.950069604386841e-06,4.3666871520733065e-06,3.4825489967150842e-06,2.8313249558615552e-06
2.959280303030303e-10,0.16417505388643533,0.015100353084422945,0.01507733256190099,2.3020522521965739e-07,5.299444571843318e-12,1.2685164497423325e-06,-6.345073021147683e-05,-1.5151149430175623e-05,-1.767212180189311e-05,1.1669089962445125e-05,6.875435712816979e-06,4.324764939375551e-06,3.4514989545375272e-06,2.8074408362474813e-06
3.0517578125e-10,0.16401330677201206,0.015087422203113734,0.015088195702215791,-7.734991020382501e-09,5.983008608539792e-15,1.2670046495814709e-06,-6.461326401468021e-05,-1.4988594557895235e-05,-1.636149706746786e-05,1.1790150522099116e-05,6.800488324778733e-06,4.282645268175923e-06,3.420290080791531e-06,2.7834266336733055e-06
3.1442353219696973e-10,0.16384668439840527,0.015074070742338372,0.015098978912549525,-2.4908170211138884e-07,6.204169432670665e-12,1.265589592588702e-06,-6.577546186400308e-05,-1.4825775050312544e-05,-1.5050389271881329e-05,1.1910736443469249e-05,6.725232355741791e-06,4.240331302392478e-06,3.3889249345027554e-06,2.7592844450841983e-06
3.2367128314393943e-10,0.1636751959680701,0.015060299446533816,0.015109681690430105,-4.938224389627484e-07,2.4386060122311733e-11,1.2642707954378372e-06,-6.693732126196533e-05,-1.466269322940794e-05,-1.3738839177169561e-05,1.2030839903047284e-05,6.649672734445748e-06,4.197826213953327e-06,3.35740608105867e-06,2.735016372605555e-06
3.3291903409090914e-10,0.16349885095344707,0.015046109083725993,0.015120303541748354,-7.419445802234176e-07,5.5048176012290334e-11,1.2630477817073248e-06,-6.809883971591067e-05,-1.4499351424546554e-05,-1.2426887560654392e-05,1.2150453096168478e-05,6.5738144026777365e-06,4.155133182657517e-06,3.3257360920969123e-06,2.710624523451812e-06
3.421667850378788e-10,0.16331765909654683,0.01503150044549607,0.01513084398077778,-9.934353528168854e-07,9.869138002264095e-11,1.2619200817839667e-06,-6.926001473794627e-05,-1.433575197237281e-05,-1.1114575213581726e-05,1.2269568237601447e-05,6.497662315049425e-06,4.11225539603553e-06,3.2939175453933675e-06,2.6861110098350483e-06
3.514145359848485e-10,0.16313163040852394,0.015016474346945656,0.015141302530193981,-1.24828183248306e-06,1.5582075333072666e-10,1.2608872327646223e-06,-7.04208438448819e-05,-1.4171897216704703e-05,-9.801942939759718e-06,1.2388177562137234e-05,6.42122143877346e-06,4.069196049209485e-06,3.261953024749993e-06,2.66147794887338e-06
3.606622869318182e-10,0.16294077516923908,0.015001031626661002,0.015151678721093664,-1.5064709443264426e-06,2.269454706099804e-10,1.2599487783559403e-06,-7.158132455816947e-05,-1.400778950842793e-05,-8.489031554196294e-06,1.250627332517755e-05,6.3444967534393276e-06,4.025958344752962e-06,3.2298451198823795e-06,2.6367274624991247e-06
3.699100378787879e-10,0.16274510392680896,0.014985173146676172,0.015161972093013313,-1.767989463371292e-06,3.125786742591909e-10,1.2591042687721323e-06,-7.274145440384142e-05,-1.3843431205389598e-05,-7.175881881736378e-06,1.262384780332211e-05,6.267493250788621e-06,3.982545492550571e-06,3.1975964263070605e-06,2.611861677366808e-06
